
 Status
 ------
Stopped
2025-11-17 14:32:26 +07 LOG:  database system was shut down at 2025-11-17 14:32:08 +07
2025-11-17 14:37:26 +07 LOG:  checkpoint starting: time
2025-11-17 14:37:31 +07 LOG:  checkpoint complete: wrote 43 buffers (0.3%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=4.663 s, sync=0.051 s, total=4.755 s; sync files=11, longest=0.016 s, average=0.005 s; distance=333 kB, estimate=333 kB; lsn=0/1844C38, redo lsn=0/1844BE0
2025-11-17 15:25:32 +07 FATAL:  password authentication failed for user "mrgeo"
2025-11-17 15:25:32 +07 DETAIL:  Role "mrgeo" does not exist.
Connection matched file "C:/Program Files/PostgreSQL/18/data/pg_hba.conf" line 117: "host    all             all             ::1/128                 scram-sha-256"
2025-11-17 15:25:43 +07 FATAL:  password authentication failed for user "mrgeo"
2025-11-17 15:25:43 +07 DETAIL:  Role "mrgeo" does not exist.
Connection matched file "C:/Program Files/PostgreSQL/18/data/pg_hba.conf" line 117: "host    all             all             ::1/128                 scram-sha-256"
2025-11-17 15:26:17 +07 FATAL:  password authentication failed for user "mrgeo"
2025-11-17 15:26:17 +07 DETAIL:  Role "mrgeo" does not exist.
Connection matched file "C:/Program Files/PostgreSQL/18/data/pg_hba.conf" line 117: "host    all             all             ::1/128                 scram-sha-256"
2025-11-17 15:28:33 +07 FATAL:  password authentication failed for user "mrgeo"
2025-11-17 15:28:33 +07 DETAIL:  Role "mrgeo" does not exist.
Connection matched file "C:/Program Files/PostgreSQL/18/data/pg_hba.conf" line 117: "host    all             all             ::1/128                 scram-sha-256"
2025-11-17 15:31:54 +07 FATAL:  password authentication failed for user "mrgeo"
2025-11-17 15:31:54 +07 DETAIL:  Role "mrgeo" does not exist.
Connection matched file "C:/Program Files/PostgreSQL/18/data/pg_hba.conf" line 117: "host    all             all             ::1/128                 scram-sha-256"
2025-11-18 06:48:27 +07 LOG:  database system was interrupted; last known up at 2025-11-17 14:37:31 +07
2025-11-18 06:48:30 +07 LOG:  database system was not properly shut down; automatic recovery in progress
2025-11-18 06:48:30 +07 LOG:  redo starts at 0/1844BE0
2025-11-18 06:48:30 +07 LOG:  invalid record length at 0/1844CE8: expected at least 24, got 0
2025-11-18 06:48:30 +07 LOG:  redo done at 0/1844CB0 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-11-18 06:48:30 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
2025-11-18 06:48:30 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.008 s, total=0.040 s; sync files=2, longest=0.004 s, average=0.004 s; distance=0 kB, estimate=0 kB; lsn=0/1844CE8, redo lsn=0/1844CE8
2025-11-19 06:29:02 +07 LOG:  database system was interrupted; last known up at 2025-11-18 06:48:30 +07
2025-11-19 06:29:04 +07 LOG:  database system was not properly shut down; automatic recovery in progress
2025-11-19 06:29:04 +07 LOG:  redo starts at 0/1844D60
2025-11-19 06:29:04 +07 LOG:  invalid record length at 0/1844D98: expected at least 24, got 0
2025-11-19 06:29:04 +07 LOG:  redo done at 0/1844D60 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-11-19 06:29:04 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
2025-11-19 06:29:04 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.015 s, total=0.062 s; sync files=2, longest=0.008 s, average=0.008 s; distance=0 kB, estimate=0 kB; lsn=0/1844D98, redo lsn=0/1844D98
2025-11-19 07:53:19 +07 LOG:  database system was interrupted; last known up at 2025-11-19 06:29:04 +07
2025-11-19 07:53:22 +07 LOG:  database system was not properly shut down; automatic recovery in progress
2025-11-19 07:53:22 +07 LOG:  redo starts at 0/1844E10
2025-11-19 07:53:22 +07 LOG:  invalid record length at 0/1844E48: expected at least 24, got 0
2025-11-19 07:53:22 +07 LOG:  redo done at 0/1844E10 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-11-19 07:53:22 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
2025-11-19 07:53:22 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.009 s, total=0.042 s; sync files=2, longest=0.005 s, average=0.004 s; distance=0 kB, estimate=0 kB; lsn=0/1844E48, redo lsn=0/1844E48
2025-11-21 09:47:44 +07 LOG:  database system was interrupted; last known up at 2025-11-19 07:53:22 +07
2025-11-21 09:47:46 +07 LOG:  database system was not properly shut down; automatic recovery in progress
2025-11-21 09:47:46 +07 LOG:  redo starts at 0/1844EC0
2025-11-21 09:47:46 +07 LOG:  invalid record length at 0/1844EF8: expected at least 24, got 0
2025-11-21 09:47:46 +07 LOG:  redo done at 0/1844EC0 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-11-21 09:47:46 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
2025-11-21 09:47:46 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.008 s, total=0.044 s; sync files=2, longest=0.004 s, average=0.004 s; distance=0 kB, estimate=0 kB; lsn=0/1844EF8, redo lsn=0/1844EF8
2025-11-22 08:40:55 +07 LOG:  database system was interrupted; last known up at 2025-11-21 09:47:46 +07
2025-11-22 08:41:01 +07 LOG:  database system was not properly shut down; automatic recovery in progress
2025-11-22 08:41:01 +07 LOG:  redo starts at 0/1844F70
2025-11-22 08:41:01 +07 LOG:  invalid record length at 0/1844FA8: expected at least 24, got 0
2025-11-22 08:41:01 +07 LOG:  redo done at 0/1844F70 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-11-22 08:41:01 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
2025-11-22 08:41:01 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.010 s, total=0.056 s; sync files=2, longest=0.005 s, average=0.005 s; distance=0 kB, estimate=0 kB; lsn=0/1844FA8, redo lsn=0/1844FA8
2025-11-22 19:15:38 +07 LOG:  database system was interrupted; last known up at 2025-11-22 08:41:01 +07
2025-11-22 19:15:41 +07 LOG:  database system was not properly shut down; automatic recovery in progress
2025-11-22 19:15:41 +07 LOG:  redo starts at 0/1845020
2025-11-22 19:15:41 +07 LOG:  invalid record length at 0/1845058: expected at least 24, got 0
2025-11-22 19:15:41 +07 LOG:  redo done at 0/1845020 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-11-22 19:15:41 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
2025-11-22 19:15:41 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.014 s, total=0.058 s; sync files=2, longest=0.009 s, average=0.007 s; distance=0 kB, estimate=0 kB; lsn=0/1845058, redo lsn=0/1845058
2025-11-27 07:59:53 +07 LOG:  database system was interrupted; last known up at 2025-11-22 19:15:41 +07
2025-11-27 08:00:01 +07 LOG:  database system was not properly shut down; automatic recovery in progress
2025-11-27 08:00:01 +07 LOG:  redo starts at 0/18450D0
2025-11-27 08:00:01 +07 LOG:  invalid record length at 0/1845108: expected at least 24, got 0
2025-11-27 08:00:01 +07 LOG:  redo done at 0/18450D0 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-11-27 08:00:01 +07 LOG:  checkpoint starting: end-of-recovery immediate wait
2025-11-27 08:00:01 +07 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.015 s, total=0.062 s; sync files=2, longest=0.008 s, average=0.008 s; distance=0 kB, estimate=0 kB; lsn=0/1845108, redo lsn=0/1845108
